Category,Company_Name,Address,Pincode,Phone,Website,Email,Name
Auto,Uni-Automation (I) Pvt Ltd.,Flat No. 202  IInd Floor  Vyankatesh Apartments   494/11  Parvati  PUNE. INDIA,411009,+ 91 7887865323,http://www.uniautomation.com/html/index.html,sales@uniautomation.com
Auto,Whey Protein,400 BMC Retail Market Bhandup,400078,8958267422,https://www.curlindia.com/product-category/sports-fitness/whey-protein-sports-fitness-in-india-at-curlindia.html,
Auto,E-Rickshaw Manufacturer in Delhi | Delta Autocorp LLP,2nd Floor  Regus Business Centre  KLJ Tower North Netaji Subhash Place   Wazirpur  New Delhi,110023,011 66481012,http://deltic.co/,codeltic@gmail.com
Auto,Netafim Irrigation India Pvt. Ltd.,Plot No. 268-270 271 B  GIDC Manjusar  Savli  Vadodara.,391775,91 2667264601,http://netafimindia.com,http://netafimindia.com
Auto,Oriel,Unit No.: 231 Kuber Complex Link Road Andheri (WEST) Mumbai - 400 058.(INDIA),400058,91 9004857914,http://www.oriel.in,mumbai.oriel@gmail.com
Auto,GBP CENTRUM,Near Metro  Ambala-Chandigarh Highway  Zirakpur,140603,+91 9255252221,http://gbpcentrumzirakpur.co.in/,gbpcentrum1@gmail.com
Auto,Orion Digital,Unit No.: 231  Kuber Complex Link Road  Andheri(West) Mumbai - 400058 Maharashtra - India.,400058,91 9004857914,http://www.oriondigital.in,oriondigitalmumbai@gmail.com
Auto,Advocate in chandigarh,#1482/a sector 61 chandigarh,160062,+91 9915680560,https://advocate-in-chandigarh.blogspot.in/,abhargav4883@gmail.com
Auto,Modwrap,61/5-M  SIKAND COMPLEX INDUSTRIAL AREA ,121001,0129 4162229,http://www.modwrap.com,
Auto,Orion Digital,Unit No.: 231  Kuber Complex Link Road  Andheri(West) Mumbai - 400058 Maharashtra - India.,400058,90048 9004857914,http://www.oriondigital.in/,orion.mumbai2000@gmail.com
Auto,Guru Disha Computer Academy,Plot no. 147  3rd floor M.P nagar near sudharshaN PALACE HOTEL BHOPAL-  462011,0000,903 9039919374,http://www.gurudisha.com,gurudisha.bpl@gmail.com
Auto,Orion PR & Digital Pvt.Ltd,Unit No.: 231  Kuber Complex Link Road  Andheri(West) Mumbai - 400058 Maharashtra - India.,400058,90048 9004857914,http://orionpr.in,orion.mumbai2000@gmail.com
Auto,Canvas Shoes,107  opp Sunny Mart  New Aatish Market  Mansarover  Jaipur Rajasthan  302020,302020,84327 8432788147,http://www.froskie.com,jemsmichle2017@gmail.com
Auto,Acko General Insurance Company Limited,F Wing  3rd Floor  Lotus Corporate Park  Off Western Express Highway  Goregaon East  Mumbai –,400063,02262672525,https://www.acko.com/,nupur@acko.com
Auto,Yelohat,C-401  Nikita Apartments  Military Road  Marol Andheri East  Mumbai  Maharashtra,400072,+91 7377366179,http://yelohat.com/,yelohat17@gmail.com
Auto,HANGZHOU PTLCABLE CO.LTD.,NO89 KAIYUAN ST QINGSHAN LAKE TECH-CITY ZHEJIANG CHINA,,86 57163773538,http://www.ptlcable.net/,sale@ptlcable.net
Auto,ShengZhou Cadia Electric Co.Ltd.,No.511 Wulipu Sanjiang District Shengzhou Zhejiang China,,86 57583355168,http://www.handmadesink.net/,sales@cadiakitchen.com
Auto,Cixi heshun plastic electric appliance co.ltd.,No. 25 South Shimi Road  Guang Hai Wei Town  Cixi City  Ningbo  Zhejiang  China,,86 57463677568,http://www.heshungardentools.com/,Shengyu@he-shun.com
Auto,Haiyan Dingfeng Fasteners Co.Ltd.,"Fengshan  Qinshan Town  Haiyan  Jiaxing  Zhejiang Province  China.",,86 13645830970,http://www.dfbolt.com/,jacob@dfbolt.com
Auto,Zhoushan Changjia Plastic Machinery Co. Ltd,No. 1  Xihou Road  Xihou Industrial Park  Jintang Town  Dinghai District  Zhoushan  Zhejiang Province  China,,86 5808252220,http://www.cjscrewbarrel.com/,YQK838312@163.com
Auto,Gujarat Lathe Manufacturing Company Pvt. Ltd.,201  Karmastambh  LBS Marg  Vikhroli (W)  Mumbai,400083,022 67242000,http://www.gujaratlathe.com,info@gujaratlathe.com
